,Province Code,NUTS3
0,1,ITC11
312,2,ITC12
394,3,ITC15
481,4,ITC16
728,5,ITC17
846,6,ITC18
1033,96,ITC13
1107,103,ITC14
1181,7,ITC20
1255,12,ITC41
1393,13,ITC42
1541,14,ITC44
1618,15,ITC4C
1751,16,ITC46
1994,17,ITC47
2199,18,ITC48
2385,19,ITC4A
2498,20,ITC4B
2562,97,ITC43
2646,98,ITC49
2706,108,ITC4D
2761,21,ITH10
2877,22,ITH20
3043,23,ITH31
3141,24,ITH32
3255,25,ITH33
3316,26,ITH34
3410,27,ITH35
3454,28,ITH36
3556,29,ITH37
3606,30,ITH42
3740,31,ITH43
3765,32,ITH44
3771,93,ITH41
3821,8,ITC31
3887,9,ITC32
3956,10,ITC33
4023,11,ITC34
4055,33,ITH51
4101,34,ITH52
4145,35,ITH53
4187,36,ITH54
4234,37,ITH55
4289,38,ITH56
4310,39,ITH57
4328,40,ITH58
4358,99,ITH59
4383,45,ITI11
4400,46,ITI12
4433,47,ITI13
4453,48,ITI14
4494,49,ITI16
4513,50,ITI17
4550,51,ITI18
4586,52,ITI19
4621,53,ITI1A
4649,100,ITI15
4656,54,ITI21
4715,55,ITI22
4748,41,ITI31
4801,42,ITI32
4848,43,ITI33
4903,44,ITI34
4936,109,ITI35
4976,56,ITI41
5036,57,ITI42
5109,58,ITI43
5230,59,ITI44
5263,60,ITI45
5354,66,ITF11
5462,67,ITF12
5509,68,ITF13
5555,69,ITF14
5659,70,ITF22
5743,94,ITF21
5795,61,ITF31
5899,62,ITF32
5977,63,ITF33
6069,64,ITF34
6187,65,ITF35
6345,71,ITF46
6406,72,ITF47
6447,73,ITF43
6476,74,ITF44
6496,75,ITF45
6592,110,ITF48
6602,76,ITF51
6702,77,ITF52
6733,78,ITF61
6883,79,ITF63
6963,80,ITF65
7060,101,ITF62
7087,102,ITF64
7137,81,ITG11
7161,82,ITG12
7243,83,ITG13
7351,84,ITG14
7394,85,ITG15
7416,86,ITG16
7436,87,ITG17
7494,88,ITG18
7506,89,ITG19
7527,90,ITG29
7529,90,ITG25
7619,91,ITG26
7620,91,ITG2A
7693,92,ITG27
7710,95,ITG28
7797,111,ITG2B
7798,111,ITG27
7802,111,ITG2C
7819,111,ITG28
7877,111,ITG2A
