place_name,dcid
Aceh,wikidataId/Q1823
Sumatera Utara,wikidataId/Q2140
Sumatera Barat,wikidataId/Q2772
Riau,wikidataId/Q2175
Jambi,wikidataId/Q2051
Sumatera Selatan,wikidataId/Q2271
Bengkulu,wikidataId/Q1890
Lampung,wikidataId/Q2110
Kepulauan Bangka Belitung,wikidataId/Q1866
Kepulauan Riau,wikidataId/Q2223
DKI Jakarta,wikidataId/Q3630
Jawa Barat,wikidataId/Q3724
Jawa Tengah,wikidataId/Q3557
DI Yogyakarta,wikidataId/Q3741
Jawa Timur,wikidataId/Q3586
Banten,wikidataId/Q3540
Bali,wikidataId/Q3125978
Nusa Tenggara Barat,wikidataId/Q5062
Nusa Tenggara Timur,wikidataId/Q5061
Kalimantan Barat,wikidataId/Q3916
Kalimantan Tengah,wikidataId/Q3891
Kalimantan Selatan,wikidataId/Q3906
Kalimantan Timur,wikidataId/Q3899
Kalimantan Utara,wikidataId/Q3903
Sulawesi Utara,wikidataId/Q5068
Sulawesi Tengah,wikidataId/Q5065
Sulawesi Selatan,wikidataId/Q5078
Sulawesi Tenggara,wikidataId/Q5075
Gorontalo,wikidataId/Q5067
Sulawesi Barat,wikidataId/Q5082
Maluku,wikidataId/Q5093
Maluku Utara,wikidataId/Q5094
Papua Barat,wikidataId/Q5096
Papua,wikidataId/Q5095
INDONESIA,country/IDN
Indonesia,country/IDN
